entrada,saida,formato_completo
"mova 89 para a direita, 41 voltar e 38 recuar",89R41B38B,"[mova 89 para a direita, 41 voltar e 38 recuar → 89R41B38B]"
desloque 96 metros na frente,96F,[desloque 96 metros na frente → 96F]
vá 4 para esquerda,4L,[vá 4 para esquerda → 4L]
71 unidades voltar,71B,[71 unidades voltar → 71B]
realize deslocamento de 29 unidades pra esquerda,29L,[realize deslocamento de 29 unidades pra esquerda → 29L]
navegue 59 centímetros avante em seguida 37 centímetros para esquerda,59F37L,[navegue 59 centímetros avante em seguida 37 centímetros para esquerda → 59F37L]
movimente-se do lado direito 44 centimetros,44R,[movimente-se do lado direito 44 centimetros → 44R]
locomova-se 15 m pra direita,15R,[locomova-se 15 m pra direita → 15R]
"24 lado esquerdo, 55 esquerda",24L55L,"[24 lado esquerdo, 55 esquerda → 24L55L]"
navegue para esquerda 26 unidades,26L,[navegue para esquerda 26 unidades → 26L]
vá 85 metros trás na sequência 95 metros frente na sequência 83 metros pra trás,85B95F83B,[vá 85 metros trás na sequência 95 metros frente na sequência 83 metros pra trás → 85B95F83B]
proceda 51 centímetro recuar,51B,[proceda 51 centímetro recuar → 51B]
mova 69 passos lado esquerdo,69L,[mova 69 passos lado esquerdo → 69L]
siga 78unidades retroceder,78B,[siga 78unidades retroceder → 78B]
movimente 69 centimetros esquerda,69L,[movimente 69 centimetros esquerda → 69L]
avance 16 mm avante e 96 mm para frente,16F96F,[avance 16 mm avante e 96 mm para frente → 16F96F]
"13 centimetros em direção à esquerda, 65 centimetros em direção à a direita",13L65R,"[13 centimetros em direção à esquerda, 65 centimetros em direção à a direita → 13L65R]"
execute movimento de 96 centimetro lado esquerdo,96L,[execute movimento de 96 centimetro lado esquerdo → 96L]
caminha 77 centimetro atrás e 31 centimetro direita,77B31R,[caminha 77 centimetro atrás e 31 centimetro direita → 77B31R]
"vá 91 direita, depois 95 para trás, então 99 para direita e finalmente 36 pra trás",91R95B99R36B,"[vá 91 direita, depois 95 para trás, então 99 para direita e finalmente 36 pra trás → 91R95B99R36B]"
"19 mm rumo a trás, 38 mm rumo a direita",19B38R,"[19 mm rumo a trás, 38 mm rumo a direita → 19B38R]"
mova pra frente 8 centímetros,8F,[mova pra frente 8 centímetros → 8F]
move 71 centímetro para trás,71B,[move 71 centímetro para trás → 71B]
desloque 60 cm pra frente,60F,[desloque 60 cm pra frente → 60F]
caminhe 87 centimetros na frente então 29 centimetros avante,87F29F,[caminhe 87 centimetros na frente então 29 centimetros avante → 87F29F]
"execute sequência: 65 para trás, 87 frente, 95 voltar",65B87F95B,"[execute sequência: 65 para trás, 87 frente, 95 voltar → 65B87F95B]"
prossiga 20 unidades pra direita,20R,[prossiga 20 unidades pra direita → 20R]
mova 54 centímetros frente,54F,[mova 54 centímetros frente → 54F]
desloque-se 29 recuar e posteriormente 36 para a esquerda,29B36L,[desloque-se 29 recuar e posteriormente 36 para a esquerda → 29B36L]
16 unidades na direção voltar,16B,[16 unidades na direção voltar → 16B]
execute 98 retroceder na sequência 47 pra direita,98B47R,[execute 98 retroceder na sequência 47 pra direita → 98B47R]
caminha do lado direito 82 mm,82R,[caminha do lado direito 82 mm → 82R]
realize movimento de 38 para a direita seguido de 58 em frente,38R58F,[realize movimento de 38 para a direita seguido de 58 em frente → 38R58F]
mova 2 para frente e depois 71 esquerda,2F71L,[mova 2 para frente e depois 71 esquerda → 2F71L]
desloque-se 61 para atrás e posteriormente 13 frente,61B13F,[desloque-se 61 para atrás e posteriormente 13 frente → 61B13F]
dirija-se em direção à direita 32 mm,32R,[dirija-se em direção à direita 32 mm → 32R]
"faça 88 centimetros à direita, depois 46 centimetros trás e por fim 57 centimetros frente",88R46B57F,"[faça 88 centimetros à direita, depois 46 centimetros trás e por fim 57 centimetros frente → 88R46B57F]"
43 centimetro pra frente,43F,[43 centimetro pra frente → 43F]
movimente 35 mm para a direita,35R,[movimente 35 mm para a direita → 35R]
realize deslocamento de 38 metros voltar,38B,[realize deslocamento de 38 metros voltar → 38B]
desloque 58 centimetros esquerda,58L,[desloque 58 centimetros esquerda → 58L]
navegue 82cm para esquerda,82L,[navegue 82cm para esquerda → 82L]
desloca à direita 65 unidades,65R,[desloca à direita 65 unidades → 65R]
vai 76 centimetro trás e 21 centimetro para a direita,76B21R,[vai 76 centimetro trás e 21 centimetro para a direita → 76B21R]
locomova-se 76 metros para frente e 97 metros em frente,76F97F,[locomova-se 76 metros para frente e 97 metros em frente → 76F97F]
execute movimento de 55 metros para esquerda,55L,[execute movimento de 55 metros para esquerda → 55L]
vá 4 pra frente,4F,[vá 4 pra frente → 4F]
siga em direção a voltar 4 centímetro,4B,[siga em direção a voltar 4 centímetro → 4B]
mova 23 m trás,23B,[mova 23 m trás → 23B]
execute movimento de 37 metros pra frente,37F,[execute movimento de 37 metros pra frente → 37F]
"primeiro 28 para atrás, então 48 para trás, finalmente 44 pra trás",28B48B44B,"[primeiro 28 para atrás, então 48 para trás, finalmente 44 pra trás → 28B48B44B]"
execute 94 para a esquerda em seguida 91 retroceder,94L91B,[execute 94 para a esquerda em seguida 91 retroceder → 94L91B]
realize movimento de 39 para direita seguido de 25 retroceder,39R25B,[realize movimento de 39 para direita seguido de 25 retroceder → 39R25B]
"move 57 para direita, 73 para trás e 64 pra frente",57R73B64F,"[move 57 para direita, 73 para trás e 64 pra frente → 57R73B64F]"
61 passos na direção trás,61B,[61 passos na direção trás → 61B]
mova-se 3 m do lado esquerdo e 22 m esquerda,3L22L,[mova-se 3 m do lado esquerdo e 22 m esquerda → 3L22L]
"faça 38 centímetro direita, em seguida 18 centímetro para esquerda",38R18L,"[faça 38 centímetro direita, em seguida 18 centímetro para esquerda → 38R18L]"
mova 37 centímetros retroceder,37B,[mova 37 centímetros retroceder → 37B]
siga na direção de em frente 61 centímetro,61F,[siga na direção de em frente 61 centímetro → 61F]
mova-se 55cm à direita,55R,[mova-se 55cm à direita → 55R]
"3 atrás, 61 para atrás, 1 para a esquerda",3B61B1L,"[3 atrás, 61 para atrás, 1 para a esquerda → 3B61B1L]"
proceda 94 centimetros atrás,94B,[proceda 94 centimetros atrás → 94B]
caminhe 98 m pra direita logo após 96 m para atrás logo após 99 m em frente,98R96B99F,[caminhe 98 m pra direita logo após 96 m para atrás logo após 99 m em frente → 98R96B99F]
"primeiro 46 lado esquerdo, depois 87 direita",46L87R,"[primeiro 46 lado esquerdo, depois 87 direita → 46L87R]"
"primeiro 26 para a direita, depois 70 para frente",26R70F,"[primeiro 26 para a direita, depois 70 para frente → 26R70F]"
mova 42 cm para direita,42R,[mova 42 cm para direita → 42R]
"primeiro 5 lado esquerdo, então 41 adiante, finalmente 62 para a esquerda",5L41F62L,"[primeiro 5 lado esquerdo, então 41 adiante, finalmente 62 para a esquerda → 5L41F62L]"
locomova-se 93 milímetros esquerda,93L,[locomova-se 93 milímetros esquerda → 93L]
movimenta 19 centímetro em frente e 3 centímetro à frente,19F3F,[movimenta 19 centímetro em frente e 3 centímetro à frente → 19F3F]
vá 14 pra esquerda,14L,[vá 14 pra esquerda → 14L]
desloque-se 75 pra trás e posteriormente 72 pra direita,75B72R,[desloque-se 75 pra trás e posteriormente 72 pra direita → 75B72R]
dirija-se 7 para frente e depois 36 para atrás,7F36B,[dirija-se 7 para frente e depois 36 para atrás → 7F36B]
61 metros pra trás,61B,[61 metros pra trás → 61B]
realize deslocamento de 59 centimetro avante,59F,[realize deslocamento de 59 centimetro avante → 59F]
proceda 62 centímetros para a direita,62R,[proceda 62 centímetros para a direita → 62R]
caminha atrás 77 centímetros,77B,[caminha atrás 77 centímetros → 77B]
mova 59 mm avante,59F,[mova 59 mm avante → 59F]
vá 27 em frente,27F,[vá 27 em frente → 27F]
83 centimetro na frente,83F,[83 centimetro na frente → 83F]
siga 85 unidades atrás,85B,[siga 85 unidades atrás → 85B]
desloque 89 metros trás,89B,[desloque 89 metros trás → 89B]
"caminha 95 lado esquerdo, 52 avante e 14 pra direita",95L52F14R,"[caminha 95 lado esquerdo, 52 avante e 14 pra direita → 95L52F14R]"
move 73 para frente e 77 para frente,73F77F,[move 73 para frente e 77 para frente → 73F77F]
vá 45 para trás,45B,[vá 45 para trás → 45B]
locomova-se 65 mm para a esquerda após isso 79 mm à direita,65L79R,[locomova-se 65 mm para a esquerda após isso 79 mm à direita → 65L79R]
"execute sequência: 64 retroceder, 54 esquerda, 83 avante",64B54L83F,"[execute sequência: 64 retroceder, 54 esquerda, 83 avante → 64B54L83F]"
caminhe 99 m para a direita,99R,[caminhe 99 m para a direita → 99R]
proceda 27 centimetro lado esquerdo,27L,[proceda 27 centimetro lado esquerdo → 27L]
"primeiro 38 em frente, depois 28 atrás",38F28B,"[primeiro 38 em frente, depois 28 atrás → 38F28B]"
caminhe 24 m do lado direito e 18 m frente,24R18F,[caminhe 24 m do lado direito e 18 m frente → 24R18F]
desloca 11 mm à direita e 65 mm trás,11R65B,[desloca 11 mm à direita e 65 mm trás → 11R65B]
46 cm avante,46F,[46 cm avante → 46F]
realize movimento de 45 avante seguido de 36 para frente,45F36F,[realize movimento de 45 avante seguido de 36 para frente → 45F36F]
"faça 32 centímetro pra trás, depois 79 centímetro para frente e por fim 31 centímetro pra direita",32B79F31R,"[faça 32 centímetro pra trás, depois 79 centímetro para frente e por fim 31 centímetro pra direita → 32B79F31R]"
vai avante 52 centimetro,52F,[vai avante 52 centimetro → 52F]
"39 atrás, 15 adiante",39B15F,"[39 atrás, 15 adiante → 39B15F]"
"faça 83 centimetros do lado esquerdo, em seguida 49 centimetros para trás",83L49B,"[faça 83 centimetros do lado esquerdo, em seguida 49 centimetros para trás → 83L49B]"
45 unidades na direção a esquerda,45L,[45 unidades na direção a esquerda → 45L]
"execute sequência: 80 à direita, 56 recuar, 96 para frente",80R56B96F,"[execute sequência: 80 à direita, 56 recuar, 96 para frente → 80R56B96F]"
siga 89 passos para a direita e 96 passos avante,89R96F,[siga 89 passos para a direita e 96 passos avante → 89R96F]
realize deslocamento de 59 centimetro para a direita,59R,[realize deslocamento de 59 centimetro para a direita → 59R]
61 passos à direita,61R,[61 passos à direita → 61R]
mova 25 milímetros do lado esquerdo,25L,[mova 25 milímetros do lado esquerdo → 25L]
navegue em direção a esquerda 44 cm,44L,[navegue em direção a esquerda 44 cm → 44L]
vai 95cm lado esquerdo,95L,[vai 95cm lado esquerdo → 95L]
prossiga 60 centímetro adiante e 44 centímetro direita,60F44R,[prossiga 60 centímetro adiante e 44 centímetro direita → 60F44R]
"primeiro 75 direita, então 69 adiante, finalmente 94 pra frente",75R69F94F,"[primeiro 75 direita, então 69 adiante, finalmente 94 pra frente → 75R69F94F]"
46 passos na direção a esquerda,46L,[46 passos na direção a esquerda → 46L]
movimenta 15centímetros atrás,15B,[movimenta 15centímetros atrás → 15B]
"53 à frente, 90 em frente",53F90F,"[53 à frente, 90 em frente → 53F90F]"
"95 avante, 15 do lado direito",95F15R,"[95 avante, 15 do lado direito → 95F15R]"
vá 68 milímetros à frente,68F,[vá 68 milímetros à frente → 68F]
proceda 34 metros à esquerda,34L,[proceda 34 metros à esquerda → 34L]
"execute 3 do lado esquerdo, 96 à frente, 95 adiante e 80 trás",3L96F95F80B,"[execute 3 do lado esquerdo, 96 à frente, 95 adiante e 80 trás → 3L96F95F80B]"
"movimente 98 centímetros retroceder, após isso 53 centímetros avante",98B53F,"[movimente 98 centímetros retroceder, após isso 53 centímetros avante → 98B53F]"
"55 passos rumo a na frente, 66 passos rumo a frente",55F66F,"[55 passos rumo a na frente, 66 passos rumo a frente → 55F66F]"
caminhe 32 centímetros atrás na sequência 61 centímetros na frente,32B61F,[caminhe 32 centímetros atrás na sequência 61 centímetros na frente → 32B61F]
ande em direção à frente 43 centímetros,43F,[ande em direção à frente 43 centímetros → 43F]
movimenta 55 centímetros para direito,55R,[movimenta 55 centímetros para direito → 55R]
"execute sequência: 29 recuar, 65 à direita, 8 na frente",29B65R8F,"[execute sequência: 29 recuar, 65 à direita, 8 na frente → 29B65R8F]"
navegue 80 voltar e depois 53 pra direita,80B53R,[navegue 80 voltar e depois 53 pra direita → 80B53R]
realize deslocamento de 74 mm pra trás,74B,[realize deslocamento de 74 mm pra trás → 74B]
"realize movimento triplo: 21 recuar, 83 retroceder, 5 do lado esquerdo",21B83B5L,"[realize movimento triplo: 21 recuar, 83 retroceder, 5 do lado esquerdo → 21B83B5L]"
vá 99 adiante,99F,[vá 99 adiante → 99F]
"realize movimento triplo: 10 lado direito, 28 trás, 24 retroceder",10R28B24B,"[realize movimento triplo: 10 lado direito, 28 trás, 24 retroceder → 10R28B24B]"
proceda 32 cm à frente,32F,[proceda 32 cm à frente → 32F]
29 passos na direção esquerdo,29L,[29 passos na direção esquerdo → 29L]
"execute sequência: 7 esquerda, 25 voltar, 29 trás",7L25B29B,"[execute sequência: 7 esquerda, 25 voltar, 29 trás → 7L25B29B]"
avance 24 m em frente após isso 13 m para trás após isso 11 m na frente,24F13B11F,[avance 24 m em frente após isso 13 m para trás após isso 11 m na frente → 24F13B11F]
siga pra esquerda 13 centímetros,13L,[siga pra esquerda 13 centímetros → 13L]
desloque-se 37 para esquerda e 51 para trás,37L51B,[desloque-se 37 para esquerda e 51 para trás → 37L51B]
"primeiro 75 voltar, depois 82 pra direita",75B82R,"[primeiro 75 voltar, depois 82 pra direita → 75B82R]"
mova-se lado direito 93 metros,93R,[mova-se lado direito 93 metros → 93R]
"realize movimento triplo: 25 para direita, 46 pra direita, 82 para a esquerda",25R46R82L,"[realize movimento triplo: 25 para direita, 46 pra direita, 82 para a esquerda → 25R46R82L]"
caminha 16 lado esquerdo e depois 65 pra direita,16L65R,[caminha 16 lado esquerdo e depois 65 pra direita → 16L65R]
95 milímetros na direção direita,95R,[95 milímetros na direção direita → 95R]
caminhe na direção de frente 18 centimetros,18F,[caminhe na direção de frente 18 centimetros → 18F]
desloque-se 52 lado esquerdo e posteriormente 72 do lado esquerdo,52L72L,[desloque-se 52 lado esquerdo e posteriormente 72 do lado esquerdo → 52L72L]
faça movimento lado direito de 80 unidades,80R,[faça movimento lado direito de 80 unidades → 80R]
faça movimento trás de 21 centímetros,21B,[faça movimento trás de 21 centímetros → 21B]
siga em direção a trás 26 cm,26B,[siga em direção a trás 26 cm → 26B]
faça movimento avante de 28 milímetros,28F,[faça movimento avante de 28 milímetros → 28F]
execute movimento de 70 centímetros à frente,70F,[execute movimento de 70 centímetros à frente → 70F]
"faça 22 cm pra frente, depois 9 cm adiante e por fim 27 cm para a esquerda",22F9F27L,"[faça 22 cm pra frente, depois 9 cm adiante e por fim 27 cm para a esquerda → 22F9F27L]"
desloque-se 27 do lado direito e posteriormente 65 pra trás,27R65B,[desloque-se 27 do lado direito e posteriormente 65 pra trás → 27R65B]
movimente 94 centimetros pra esquerda,94L,[movimente 94 centimetros pra esquerda → 94L]
desloque-se 34 à direita e posteriormente 54 esquerda,34R54L,[desloque-se 34 à direita e posteriormente 54 esquerda → 34R54L]
"15 centimetros rumo a esquerda, 65 centimetros rumo a esquerda",15L65L,"[15 centimetros rumo a esquerda, 65 centimetros rumo a esquerda → 15L65L]"
"vai 90 à esquerda, depois 29 para atrás, então 68 recuar e finalmente 79 atrás",90L29B68B79B,"[vai 90 à esquerda, depois 29 para atrás, então 68 recuar e finalmente 79 atrás → 90L29B68B79B]"
locomova-se 94m à esquerda,94L,[locomova-se 94m à esquerda → 94L]
move 24 centímetros pra esquerda,24L,[move 24 centímetros pra esquerda → 24L]
desloque-se esquerda 49 milímetros,49L,[desloque-se esquerda 49 milímetros → 49L]
